Name,State,Phone Number,Location,Full Address,Opening hours,Pin,"Name, State,Pin"
McDonald's,Brady,"<a href=""tel:+1 325-597-7211"" rel=""nofollow"">+1 325-597-7211</a>","<a href=""https://www.google.com/maps?cid=6310497908388246895"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2106 S Bridge St, Brady, TX 76825",Thu : 5am-4am <br> Fri : 5am-4am <br> Sat : 5am-4am <br> Sun : 5am-4am <br> Mon : 5am-11pm <br> Tue : 5am-4am <br> Wed : 5am-4am,TX 76825,"McDonald's, Brady, TX 76825"
McDonald's,College Station,"<a href=""tel:+1 979-690-2193"" rel=""nofollow"">+1 979-690-2193</a>","<a href=""https://www.google.com/maps?cid=13272625512706670576"" target=""_blank"" rel=""nofollow"">Get Directions</a>","4440 Texas 6 Frontage Rd, College Station, TX 77845",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 77845,"McDonald's, College Station, TX 77845"
McDonald's,Weslaco,"<a href=""tel:+1 956-968-6554"" rel=""nofollow"">+1 956-968-6554</a>","<a href=""https://www.google.com/maps?cid=6618251682085548111"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1025 N Texas, Weslaco, TX 78596",Fri : 5am-12am <br> Sat : 4am-12am <br> Sun : 4am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 78596,"McDonald's, Weslaco, TX 78596"
McDonald's,Winnie,"<a href=""tel:+1 409-296-9107"" rel=""nofollow"">+1 409-296-9107</a>","<a href=""https://www.google.com/maps?cid=3278103601584777639"" target=""_blank"" rel=""nofollow"">Get Directions</a>","45951 I-10, Winnie, TX 77665",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 77665,"McDonald's, Winnie, TX 77665"
McDonald's,Mathis,"<a href=""tel:+1 361-547-7171"" rel=""nofollow"">+1 361-547-7171</a>","<a href=""https://www.google.com/maps?cid=578897577762353999"" target=""_blank"" rel=""nofollow"">Get Directions</a>","10539 TX-359, Mathis, TX 78368",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78368,"McDonald's, Mathis, TX 78368"
McDonald's,Junction,"<a href=""tel:+1 325-446-8005"" rel=""nofollow"">+1 325-446-8005</a>","<a href=""https://www.google.com/maps?cid=13203050833480844024"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2416 N Main St, Junction, TX 76849",Fri : 6am-11pm <br> Sat : 6am-11pm <br> Sun : 6am-11pm <br> Mon : 6am-11pm <br> Tue : 6am-11pm <br> Wed : 6am-11pm <br> Thu : 6am-11pm,TX 76849,"McDonald's, Junction, TX 76849"
McDonald's,Lewisville,"<a href=""tel:+1 972-315-2881"" rel=""nofollow"">+1 972-315-2881</a>","<a href=""https://www.google.com/maps?cid=3328693584176167866"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2301 TX-121, Lewisville, TX 75067",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 75067,"McDonald's, Lewisville, TX 75067"
McDonald's,Lytle,"<a href=""tel:+1 830-709-2900"" rel=""nofollow"">+1 830-709-2900</a>","<a href=""https://www.google.com/maps?cid=5496940358240955620"" target=""_blank"" rel=""nofollow"">Get Directions</a>","14830 Lytle Somerset St, Lytle, TX 78052",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78052,"McDonald's, Lytle, TX 78052"
McDonald's,Lewisville,"<a href=""tel:+1 214-469-1585"" rel=""nofollow"">+1 214-469-1585</a>","<a href=""https://www.google.com/maps?cid=413510766085226206"" target=""_blank"" rel=""nofollow"">Get Directions</a>","4640 TX-121, Lewisville, TX 75056",Fri : 5am-2am <br> Sat : 5am-2am <br> Sun : 5am-2am <br> Mon : 5am-2am <br> Tue : 5am-2am <br> Wed : 5am-2am <br> Thu : 5am-2am,TX 75056,"McDonald's, Lewisville, TX 75056"
McDonald's,White Oak,"<a href=""tel:+1 903-295-2944"" rel=""nofollow"">+1 903-295-2944</a>","<a href=""https://www.google.com/maps?cid=2895467044441672846"" target=""_blank"" rel=""nofollow"">Get Directions</a>","609 E U.S. Hwy 80, White Oak, TX 75693",Fri : 4 : 30am-1am <br> Sat : 4 : 30am-1am <br> Sun : 5 : 30am-11 : 30pm <br> Mon : 4 : 30am-1am <br> Tue : 4 : 30am-1am <br> Wed : 4 : 30am-1am <br> Thu : 4 : 30am-1am,TX 75693,"McDonald's, White Oak, TX 75693"
McDonald's,Terrell,"<a href=""tel:+1 972-563-3664"" rel=""nofollow"">+1 972-563-3664</a>","<a href=""https://www.google.com/maps?cid=15534047256761156991"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1704 TX-34 S, Terrell, TX 75160",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 75160,"McDonald's, Terrell, TX 75160"
McDonald's,Canyon,"<a href=""tel:+1 806-655-9502"" rel=""nofollow"">+1 806-655-9502</a>","<a href=""https://www.google.com/maps?cid=7401408633007881406"" target=""_blank"" rel=""nofollow"">Get Directions</a>","200 23rd St, Canyon, TX 79015",Fri : 5am-1am <br> Sat : 5am-1am <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 79015,"McDonald's, Canyon, TX 79015"
McDonald's,Whitehouse,"<a href=""tel:+1 903-839-1123"" rel=""nofollow"">+1 903-839-1123</a>","<a href=""https://www.google.com/maps?cid=17772578700751231453"" target=""_blank"" rel=""nofollow"">Get Directions</a>","603 Hwy 110 S, Whitehouse, TX 75791",Fri : 5am-10pm <br> Sat : 5am-10pm <br> Sun : 6am-10pm <br> Mon : 5am-10pm <br> Tue : 5am-10pm <br> Wed : 5am-10pm <br> Thu : 5am-10pm,TX 75791,"McDonald's, Whitehouse, TX 75791"
McDonald's,Orange,"<a href=""tel:+1 409-745-4228"" rel=""nofollow"">+1 409-745-4228</a>","<a href=""https://www.google.com/maps?cid=6552454346074141720"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2311 TX-62 N, Orange, TX 77630",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5am-12am <br> Mon : 5am-12am <br> Tue : 5am-12am <br> Wed : 5am-12am <br> Thu : 5am-12am,TX 77630,"McDonald's, Orange, TX 77630"
McDonald's,Bulverde,"<a href=""tel:+1 830-980-8080"" rel=""nofollow"">+1 830-980-8080</a>","<a href=""https://www.google.com/maps?cid=13617434265106867826"" target=""_blank"" rel=""nofollow"">Get Directions</a>","20615 TX-46, Bulverde, TX 78070",Fri : 6am-12am <br> Sat : 6am-12am <br> Sun : 6am-11pm <br> Mon : 6am-11pm <br> Tue : 6am-11pm <br> Wed : 6am-11pm <br> Thu : 6am-11pm,TX 78070,"McDonald's, Bulverde, TX 78070"
McDonald's,Plano,"<a href=""tel:+1 972-668-4040"" rel=""nofollow"">+1 972-668-4040</a>","<a href=""https://www.google.com/maps?cid=375425350477159777"" target=""_blank"" rel=""nofollow"">Get Directions</a>","5004 State Hwy 121, Plano, TX 75024",Fri : 5am-2am <br> Sat : 5am-2am <br> Sun : 5am-2am <br> Mon : 5am-2am <br> Tue : 5am-2am <br> Wed : 5am-2am <br> Thu : 5am-2am,TX 75024,"McDonald's, Plano, TX 75024"
McDonald's,Dallas,"<a href=""tel:+1 972-661-9004"" rel=""nofollow"">+1 972-661-9004</a>","<a href=""https://www.google.com/maps?cid=14726532965122731420"" target=""_blank"" rel=""nofollow"">Get Directions</a>","13350 Dallas Pkwy, Dallas, TX 75240",Fri : 8am-9pm <br> Sat : 8am-9pm <br> Sun : 7am-5pm <br> Mon : 10am-8pm <br> Tue : 7am-9pm <br> Wed : 7am-9pm <br> Thu : 7am-9pm,TX 75240,"McDonald's, Dallas, TX 75240"
McDonald's,La Marque,"<a href=""tel:+1 409-935-0212"" rel=""nofollow"">+1 409-935-0212</a>","<a href=""https://www.google.com/maps?cid=16368389038538952566"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2300 Gulf Fwy, La Marque, TX 77568",Fri : 4am-12am <br> Sat : 4am-12am <br> Sun : 4am-11pm <br> Mon : 4am-11pm <br> Tue : 4am-11pm <br> Wed : 4am-11pm <br> Thu : 4am-11pm,TX 77568,"McDonald's, La Marque, TX 77568"
McDonald's,Willow Park,"<a href=""tel:+1 817-441-7454"" rel=""nofollow"">+1 817-441-7454</a>","<a href=""https://www.google.com/maps?cid=386535034407006270"" target=""_blank"" rel=""nofollow"">Get Directions</a>","5090 I-H 20 East Service Road, Willow Park, TX 76008",Fri : 5am-11pm <br> Sat : 5am-11pm <br> Sun : 6am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 76008,"McDonald's, Willow Park, TX 76008"
McDonald's,Roanoke,"<a href=""tel:+1 817-491-3502"" rel=""nofollow"">+1 817-491-3502</a>","<a href=""https://www.google.com/maps?cid=13476665429190509530"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1100 N US Hwy 377, Roanoke, TX 76262",Fri : 6am-11pm <br> Sat : 5am-11pm <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 76262,"McDonald's, Roanoke, TX 76262"
McDonald's,Anthony,"<a href=""tel:+1 915-886-3419"" rel=""nofollow"">+1 915-886-3419</a>","<a href=""https://www.google.com/maps?cid=18031338931844324317"" target=""_blank"" rel=""nofollow"">Get Directions</a>","3000 Mountain Pass Blvd, Anthony, TX 79821",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 79821,"McDonald's, Anthony, TX 79821"
McDonald's,Sanger,"<a href=""tel:+1 940-458-6601"" rel=""nofollow"">+1 940-458-6601</a>","<a href=""https://www.google.com/maps?cid=16935476313921767203"" target=""_blank"" rel=""nofollow"">Get Directions</a>","601 N Stemmons St, Sanger, TX 76266",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5 : 45am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 76266,"McDonald's, Sanger, TX 76266"
McDonald's,Anthony,"<a href=""tel:+1 915-886-2056"" rel=""nofollow"">+1 915-886-2056</a>","<a href=""https://www.google.com/maps?cid=5490451719610171268"" target=""_blank"" rel=""nofollow"">Get Directions</a>","101 S Main St, Anthony, TX 79821",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 79821,"McDonald's, Anthony, TX 79821"
McDonald's,Conroe,"<a href=""tel:+1 936-321-5522"" rel=""nofollow"">+1 936-321-5522</a>","<a href=""https://www.google.com/maps?cid=2127931825644379451"" target=""_blank"" rel=""nofollow"">Get Directions</a>","8001 TX-242, Conroe, TX 77385",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 77385,"McDonald's, Conroe, TX 77385"
McDonald's,Commerce,"<a href=""tel:+1 903-886-7771"" rel=""nofollow"">+1 903-886-7771</a>","<a href=""https://www.google.com/maps?cid=4291262783607231960"" target=""_blank"" rel=""nofollow"">Get Directions</a>","2102 Live Oak St, Commerce, TX 75428",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 75428,"McDonald's, Commerce, TX 75428"
McDonald's,Richland Hills,"<a href=""tel:+1 817-284-3999"" rel=""nofollow"">+1 817-284-3999</a>","<a href=""https://www.google.com/maps?cid=10600543268935266820"" target=""_blank"" rel=""nofollow"">Get Directions</a>","7305 Airport Fwy, Richland Hills, TX 76118",Fri : 4am-12am <br> Sat : 4am-12am <br> Sun : 4am-11pm <br> Mon : 4am-11pm <br> Tue : 4am-11pm <br> Wed : 4am-11pm <br> Thu : 4am-11pm,TX 76118,"McDonald's, Richland Hills, TX 76118"
McDonald's,Bee Cave,"<a href=""tel:+1 512-263-8083"" rel=""nofollow"">+1 512-263-8083</a>","<a href=""https://www.google.com/maps?cid=2840838915910864634"" target=""_blank"" rel=""nofollow"">Get Directions</a>","12514 State Hwy 71, Bee Cave, TX 78738",Fri : 5am-12am <br> Sat : 5am-11pm <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-12am,TX 78738,"McDonald's, Bee Cave, TX 78738"
McDonald's,Dallas,"<a href=""tel:+1 469-227-8533"" rel=""nofollow"">+1 469-227-8533</a>","<a href=""https://www.google.com/maps?cid=8263353877836084355"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1000 Commerce St, Dallas, TX 75202",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 75202,"McDonald's, Dallas, TX 75202"
McDonald's,Montgomery,"<a href=""tel:+1 936-588-1303"" rel=""nofollow"">+1 936-588-1303</a>","<a href=""https://www.google.com/maps?cid=10077771678118319495"" target=""_blank"" rel=""nofollow"">Get Directions</a>","15476 TX-105, Montgomery, TX 77356",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 6am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 77356,"McDonald's, Montgomery, TX 77356"
McDonald's,San Antonio,"<a href=""tel:+1 210-647-4445"" rel=""nofollow"">+1 210-647-4445</a>","<a href=""https://www.google.com/maps?cid=4879412558466461016"" target=""_blank"" rel=""nofollow"">Get Directions</a>","8819 TX-151, San Antonio, TX 78251",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78251,"McDonald's, San Antonio, TX 78251"
McDonald's,San Antonio,"<a href=""tel:+1 210-647-4445"" rel=""nofollow"">+1 210-647-4445</a>","<a href=""https://www.google.com/maps?cid=4879412558466461016"" target=""_blank"" rel=""nofollow"">Get Directions</a>","8819 TX-151, San Antonio, TX 78251",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78251,"McDonald's, San Antonio, TX 78251"
McDonald's,San Marcos,"<a href=""tel:+1 512-353-5110"" rel=""nofollow"">+1 512-353-5110</a>","<a href=""https://www.google.com/maps?cid=12035319292960877780"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1001 TX-123, San Marcos, TX 78666",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78666,"McDonald's, San Marcos, TX 78666"
McDonald's,Mineola,"<a href=""tel:+1 903-569-3252"" rel=""nofollow"">+1 903-569-3252</a>","<a href=""https://www.google.com/maps?cid=15595631679843039260"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1202 N Pacific St, Mineola, TX 75773",Fri : 5am-12am <br> Sat : 5am-12am <br> Sun : 6am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 75773,"McDonald's, Mineola, TX 75773"
McDonald's,New Braunfels,"<a href=""tel:+1 830-620-7747"" rel=""nofollow"">+1 830-620-7747</a>","<a href=""https://www.google.com/maps?cid=16490735851486196599"" target=""_blank"" rel=""nofollow"">Get Directions</a>","4142 TX-337 Loop, New Braunfels, TX 78130",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78130,"McDonald's, New Braunfels, TX 78130"
McDonald's,Gladewater,"<a href=""tel:+1 903-845-9910"" rel=""nofollow"">+1 903-845-9910</a>","<a href=""https://www.google.com/maps?cid=6893952298975633648"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1100 E Broadway Ave, Gladewater, TX 75647",Fri : 6am-11pm <br> Sat : 6am-11pm <br> Sun : 6am-11pm <br> Mon : 6am-11pm <br> Tue : 6am-11pm <br> Wed : 6am-11pm <br> Thu : 6am-11pm,TX 75647,"McDonald's, Gladewater, TX 75647"
McDonald's,McKinney,"<a href=""tel:+1 972-542-2139"" rel=""nofollow"">+1 972-542-2139</a>","<a href=""https://www.google.com/maps?cid=11510569355527042480"" target=""_blank"" rel=""nofollow"">Get Directions</a>","240 W Eldorado Pkwy, McKinney, TX 75069",Fri : 4am-12am <br> Sat : 4am-12am <br> Sun : 4am-12am <br> Mon : 4am-12am <br> Tue : 4am-12am <br> Wed : 4am-12am <br> Thu : 4am-12am,TX 75069,"McDonald's, McKinney, TX 75069"
McDonald's,Midland,"<a href=""tel:+1 432-699-0768"" rel=""nofollow"">+1 432-699-0768</a>","<a href=""https://www.google.com/maps?cid=3284080935485204018"" target=""_blank"" rel=""nofollow"">Get Directions</a>","3310 W Loop 250 N, Midland, TX 79707",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 79707,"McDonald's, Midland, TX 79707"
McDonald's,Tomball,"<a href=""tel:+1 281-430-3033"" rel=""nofollow"">+1 281-430-3033</a>","<a href=""https://www.google.com/maps?cid=15854834011010919865"" target=""_blank"" rel=""nofollow"">Get Directions</a>","24421 TX-249, Tomball, TX 77375",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 77375,"McDonald's, Tomball, TX 77375"
McDonald's,Post,"<a href=""tel:+1 806-495-0495"" rel=""nofollow"">+1 806-495-0495</a>","<a href=""https://www.google.com/maps?cid=19523341087479284"" target=""_blank"" rel=""nofollow"">Get Directions</a>","102 N Broadway St, Post, TX 79356",Fri : 4am-12am <br> Sat : 4am-12am <br> Sun : 4am-11pm <br> Mon : 4am-11pm <br> Tue : 4am-11pm <br> Wed : 4am-11pm <br> Thu : 4am-11pm,TX 79356,"McDonald's, Post, TX 79356"
McDonald's,Manor,"<a href=""tel:+1 512-272-4300"" rel=""nofollow"">+1 512-272-4300</a>","<a href=""https://www.google.com/maps?cid=10411854166798254723"" target=""_blank"" rel=""nofollow"">Get Directions</a>","12609 Lexington St, Manor, TX 78653",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78653,"McDonald's, Manor, TX 78653"
McDonald's,Greenville,"<a href=""tel:+1 903-454-6141"" rel=""nofollow"">+1 903-454-6141</a>","<a href=""https://www.google.com/maps?cid=12640307571746667813"" target=""_blank"" rel=""nofollow"">Get Directions</a>","4705 Moulton St, Greenville, TX 75401",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 75401,"McDonald's, Greenville, TX 75401"
McDonald's,Orange,"<a href=""tel:+1 409-886-0646"" rel=""nofollow"">+1 409-886-0646</a>","<a href=""https://www.google.com/maps?cid=18012326775616971774"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1710 N 16th St, Orange, TX 77630",Fri : 5am-11pm <br> Sat : 5am-11pm <br> Sun : 5am-11pm <br> Mon : 5am-11pm <br> Tue : 5am-11pm <br> Wed : 5am-11pm <br> Thu : 5am-11pm,TX 77630,"McDonald's, Orange, TX 77630"
McDonald's,Graham,"<a href=""tel:+1 940-549-5117"" rel=""nofollow"">+1 940-549-5117</a>","<a href=""https://www.google.com/maps?cid=14348754027860766289"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1701 TX-16 S, Graham, TX 76450",Fri : 5am-1am <br> Sat : 5am-1am <br> Sun : 5am-12am <br> Mon : 5am-12am <br> Tue : 5am-12am <br> Wed : 5am-12am <br> Thu : 5am-12am,TX 76450,"McDonald's, Graham, TX 76450"
McDonald's,Lamesa,"<a href=""tel:+1 806-872-6541"" rel=""nofollow"">+1 806-872-6541</a>","<a href=""https://www.google.com/maps?cid=13346560957848936298"" target=""_blank"" rel=""nofollow"">Get Directions</a>","505 N Dallas Ave, Lamesa, TX 79331",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : 4am-12am <br> Mon : 4am-12am <br> Tue : 4am-12am <br> Wed : 4am-12am <br> Thu : 4am-12am,TX 79331,"McDonald's, Lamesa, TX 79331"
McDonald's,Cedar Park,"<a href=""tel:+1 512-259-5770"" rel=""nofollow"">+1 512-259-5770</a>","<a href=""https://www.google.com/maps?cid=8823103236837404778"" target=""_blank"" rel=""nofollow"">Get Directions</a>","1103 N Bell Blvd, Cedar Park, TX 78613",Fri : open 24 hours <br> Sat : open 24 hours <br> Sun : open 24 hours <br> Mon : open 24 hours <br> Tue : open 24 hours <br> Wed : open 24 hours <br> Thu : open 24 hours,TX 78613,"McDonald's, Cedar Park, TX 78613"
McDonald's,Burnet,"<a href=""tel:+1 512-715-0066"" rel=""nofollow"">+1 512-715-0066</a>","<a href=""https://www.google.com/maps?cid=16291814346973125974"" target=""_blank"" rel=""nofollow"">Get Directions</a>","200 N Water St, Burnet, TX 78611",Fri : 6am-11pm <br> Sat : 6am-11pm <br> Sun : 7am-11pm <br> Mon : 6am-11pm <br> Tue : 6am-11pm <br> Wed : 6am-11pm <br> Thu : 6am-11pm,TX 78611,"McDonald's, Burnet, TX 78611"
